date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:36	7742/7742	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e3e-61935ead4c290%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-07.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-07.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:36	8747/8747	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22222b-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-08.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-08.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:37	4629/4629	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221215-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-09.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-09.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:37	7165/7165	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221bfd-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-10.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-10.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:37	6038/6038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221796-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-11.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-11.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:37	8208/8208	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222010-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-12.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-12.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:38	12041/12041	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222f09-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-13.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-13.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:38	10080/10080	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222760-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-14.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-14.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:38	2722/2722	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22aa2-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-15.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-15.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:38	7845/7845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ea5-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-16.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-16.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:39	6753/6753	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221a61-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-17.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-17.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:39	12588/12588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22312c-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-18.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-18.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:39	7185/7185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221c11-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-19.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-19.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:39	5247/5247	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22147f-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-20.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-20.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:39	7845/7845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ea5-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-21.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-21.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:40	4551/4551	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211c7-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-22.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-22.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:40	5211/5211	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22145b-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-23.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-23.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:40	6378/6378	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218ea-61935ead4d231%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-24.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-24.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:40	11411/11411	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222c93-61935ead4e1d1%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-25.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/skill-icon-25.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:40	2527/2527	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229df-61935ead48410%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-01.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-01.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:41	1791/1791	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226ff-61935ead48410%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-02.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-02.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:41	1097/1097	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22449-61935ead48410%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-03.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-03.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:41	2195/2195	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22893-61935ead48410%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-04.svg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/icon/great-icon-04.svg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:41	35202/35202	---M--	200	added ('OK')	image/jpeg	etag:%228982-61935ead2324f%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/about-it-01.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/about-it-01.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:42	28408/28408	---M--	200	added ('OK')	image/jpeg	etag:%226ef8-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-01.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-01.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:42	31237/31237	---M--	200	added ('OK')	image/jpeg	etag:%227a05-61935ead2324f%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/about-it-02.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/about-it-02.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:42	42695/42695	---M--	200	added ('OK')	image/jpeg	etag:%22a6c7-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-02.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-02.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:43	34489/34489	---M--	200	added ('OK')	image/jpeg	etag:%2286b9-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-04.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-04.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:43	31521/31521	---M--	200	added ('OK')	image/jpeg	etag:%227b21-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-05.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-05.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:44	29046/29046	---M--	200	added ('OK')	image/jpeg	etag:%227176-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-06.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-06.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
20:36:44	36286/36286	---M--	200	added ('OK')	image/jpeg	etag:%228dbe-61935ead54f31%22	https://kofejob.dreamstechnologies.com/html/template/assets/img/location/location-03.jpg	C:/My%20Web%20Sites/stelia/kofejob.dreamstechnologies.com/html/template/assets/img/location/location-03.jpg	(from https://kofejob.dreamstechnologies.com/html/template/index-2.html)
